Feature,Gain,Importance
love,0.102977558999843,0.102977558999843
bad,0.0596525961954199,0.0596525961954199
excellent,0.0461945883643815,0.0461945883643815
return,0.0397753465346788,0.0397753465346788
waste,0.0311661717223758,0.0311661717223758
perfect,0.0260864470445489,0.0260864470445489
disappoint,0.0214509948014278,0.0214509948014278
price,0.020403637503335,0.020403637503335
fast,0.0177442725542963,0.0177442725542963
phone,0.0165499256715534,0.0165499256715534
awesome,0.0164489509940759,0.0164489509940759
amaze,0.0139633406514634,0.0139633406514634
easy,0.0133729238083615,0.0133729238083615
month,0.012960818619167,0.012960818619167
send,0.01264680503823,0.01264680503823
charge,0.00970679091423852,0.00970679091423852
call,0.00960900548018458,0.00960900548018458
happy,0.0095764134901531,0.0095764134901531
buy,0.0086866319705432,0.0086866319705432
lock,0.0076097371667677,0.0076097371667677
suck,0.00756074682723143,0.00756074682723143
stop,0.00754847820740161,0.00754847820740161
recommend,0.00658077973846692,0.00658077973846692
terrible,0.0059387500353275,0.0059387500353275
poor,0.00541777024759132,0.00541777024759132
battery,0.00532150149828948,0.00532150149828948
horrible,0.00531054239562321,0.00531054239562321
screen,0.00491207306255171,0.00491207306255171
defective,0.0049007858446982,0.0049007858446982
nice,0.00479757802423636,0.00479757802423636
slow,0.0046231903663897,0.0046231903663897
freeze,0.00432485767831384,0.00432485767831384
camera,0.00398684462098126,0.00398684462098126
unlock,0.00379941866390889,0.00379941866390889
perfectly,0.00358170073665277,0.00358170073665277
money,0.00333639429698453,0.00333639429698453
rip,0.0030156261809213,0.0030156261809213
junk,0.00286394827448321,0.00286394827448321
receive,0.00282993562545712,0.00282993562545712
pretty,0.00282924412429652,0.00282924412429652
purchase,0.0027222866984318,0.0027222866984318
refund,0.00272141032771532,0.00272141032771532
useless,0.00265542594617997,0.00265542594617997
feature,0.00245824097835466,0.00245824097835466
life,0.00243918386852834,0.00243918386852834
satisfy,0.00243544910417258,0.00243544910417258
sell,0.00238011409047429,0.00238011409047429
time,0.00233262649629432,0.00233262649629432
constantly,0.00226692191435277,0.00226692191435277
iphone,0.00223942399551971,0.00223942399551971
star,0.00217564691041837,0.00217564691041837
fantastic,0.00212403602076212,0.00212403602076212
description,0.00211465225622918,0.00211465225622918
product,0.00209236838450335,0.00209236838450335
expectation,0.00209149385337869,0.00209149385337869
app,0.00206766487772126,0.00206766487772126
seller,0.00205809494782759,0.00205809494782759
issue,0.00205417253344521,0.00205417253344521
charger,0.00201976394948603,0.00201976394948603
condition,0.00198615851830654,0.00198615851830654
describe,0.00196899198146725,0.00196899198146725
smart,0.0019603418551735,0.0019603418551735
shut,0.00192502508412254,0.00192502508412254
nots,0.00191006829035211,0.00191006829035211
refurbish,0.00190317101183738,0.00190317101183738
hate,0.00185061025055871,0.00185061025055871
pay,0.00178868873752175,0.00178868873752175
break,0.00176189944098799,0.00176189944098799
memory,0.00172369740581521,0.00172369740581521
scam,0.00172236643125442,0.00172236643125442
card,0.00171987515379441,0.00171987515379441
android,0.00166841424728562,0.00166841424728562
size,0.0016669524321938,0.0016669524321938
advertise,0.00165457058032594,0.00165457058032594
message,0.00162130431969091,0.00162130431969091
quickly,0.00157458014194514,0.00157458014194514
item,0.00155785082585396,0.00155785082585396
week,0.00152097999936512,0.00152097999936512
sim,0.00144530363143018,0.00144530363143018
2,0.00144511945998888,0.00144511945998888
expect,0.00144210534108822,0.00144210534108822
warranty,0.00143693395509642,0.00143693395509642
brand,0.0013746026277547,0.0013746026277547
properly,0.00136639075152103,0.00136639075152103
atandt,0.0013626224681021,0.0013626224681021
verizon,0.00134585411847355,0.00134585411847355
wasn,0.00134139692686265,0.00134139692686265
volume,0.00133981078254664,0.00133981078254664
dollar,0.00133626725334334,0.00133626725334334
1,0.00133066106260955,0.00133066106260955
store,0.00132992799777795,0.00132992799777795
wonderful,0.00132831025512435,0.00132831025512435
fine,0.00132488999560728,0.00132488999560728
smartphone,0.00130295312794911,0.00130295312794911
start,0.00129323921142704,0.00129323921142704
manual,0.001287207604804,0.001287207604804
fix,0.00126134563170777,0.00126134563170777
recognize,0.00125465494529115,0.00125465494529115
restart,0.00124365201580548,0.00124365201580548
4,0.00123983134480561,0.00123983134480561
connect,0.00123505413624682,0.00123505413624682
review,0.00123298836637567,0.00123298836637567
blackberry,0.00119893200741865,0.00119893200741865
day,0.00118714046303288,0.00118714046303288
job,0.00117910609181497,0.00117910609181497
box,0.00116349590077835,0.00116349590077835
samsung,0.00115580317250492,0.00115580317250492
dead,0.00115161671466671,0.00115161671466671
beware,0.00112808308931504,0.00112808308931504
home,0.00108024284608858,0.00108024284608858
galaxy,0.00106258795139658,0.00106258795139658
fan,0.0010598789870836,0.0010598789870836
5,0.00105881335633425,0.00105881335633425
plan,0.00103912393789963,0.00103912393789963
lot,0.00103663646841028,0.00103663646841028
hand,0.00101404284496313,0.00101404284496313
black,0.00098918624003944,0.00098918624003944
button,0.000980965997125414,0.000980965997125414
wrong,0.000976469085646387,0.000976469085646387
crap,0.000974027609518011,0.000974027609518011
wifi,0.000973374882751958,0.000973374882751958
quality,0.000952617981663496,0.000952617981663496
software,0.000950864356224269,0.000950864356224269
act,0.000943237732777629,0.000943237732777629
hard,0.000934178258746033,0.000934178258746033
version,0.000932044824326657,0.000932044824326657
contact,0.000921589100197241,0.000921589100197241
hesitate,0.000921376853517955,0.000921376853517955
company,0.000884955059112855,0.000884955059112855
fake,0.000883735508295447,0.000883735508295447
fail,0.000875692188177712,0.000875692188177712
advertisement,0.000873706328103735,0.000873706328103735
mobile,0.0008616108127317,0.0008616108127317
install,0.000857266060973411,0.000857266060973411
enjoy,0.000827104929688624,0.000827104929688624
miss,0.000823885250269251,0.000823885250269251
garbage,0.000820518729101981,0.000820518729101981
unlimited,0.00081764674002546,0.00081764674002546
