Feature,Gain,Importance
return,0.0577307355501585,0.0577307355501585
love,0.0493598242536381,0.0493598242536381
waste,0.0378893896084856,0.0378893896084856
bad,0.0326895539518487,0.0326895539518487
poor,0.0303570916705123,0.0303570916705123
month,0.0273451281061677,0.0273451281061677
sound,0.021110232243031,0.021110232243031
terrible,0.0178506763001189,0.0178506763001189
price,0.0160872890282636,0.0160872890282636
comfortable,0.0157447095292056,0.0157447095292056
week,0.0147191801920256,0.0147191801920256
awesome,0.0139998300043958,0.0139998300043958
amaze,0.013797848143926,0.013797848143926
headphone,0.0122443955228255,0.0122443955228255
disappoint,0.0115721115387293,0.0115721115387293
break,0.0112821203387342,0.0112821203387342
excellent,0.0105916781170683,0.0105916781170683
horrible,0.0104865429012397,0.0104865429012397
stop,0.0101194319220934,0.0101194319220934
ear,0.0100264106783251,0.0100264106783251
perfect,0.00956493681851046,0.00956493681851046
uncomfortable,0.00916486373507624,0.00916486373507624
bass,0.00898783553131072,0.00898783553131072
send,0.00758794155329215,0.00758794155329215
music,0.00731084793587292,0.00731084793587292
highly,0.00730610872537694,0.00730610872537694
junk,0.0069208998887674,0.0069208998887674
quality,0.00549752117453825,0.00549752117453825
cheap,0.00470000728820999,0.00470000728820999
bite,0.00461895544326031,0.00461895544326031
buy,0.00454768739005486,0.00454768739005486
start,0.00432612925722877,0.00432612925722877
noise,0.00414536248179801,0.00414536248179801
fit,0.00365892052324129,0.00365892052324129
suck,0.00365543784063054,0.00365543784063054
pair,0.00362714362134894,0.00362714362134894
nice,0.00346519087287419,0.00346519087287419
pretty,0.00319167841427745,0.00319167841427745
earbuds,0.0031464152552081,0.0031464152552081
fall,0.00312704654432972,0.00312704654432972
happy,0.0031229514231447,0.0031229514231447
head,0.00300671768144906,0.00300671768144906
bud,0.00297091170858067,0.00297091170858067
product,0.00293363816105643,0.00293363816105643
cord,0.00286931763597496,0.00286931763597496
star,0.0028383170389366,0.0028383170389366
listen,0.00282350980272547,0.00282350980272547
dollar,0.00278679344085718,0.00278679344085718
volume,0.00269377677366243,0.00269377677366243
beat,0.0026313589048842,0.0026313589048842
defective,0.00262261605190466,0.00262261605190466
recommend,0.00262157397192014,0.00262157397192014
decent,0.00258351284619886,0.00258351284619886
annoy,0.00257844604012063,0.00257844604012063
money,0.00250387755694528,0.00250387755694528
earphone,0.00250215079068319,0.00250215079068319
fine,0.00246038037043307,0.00246038037043307
time,0.00242692675909127,0.00242692675909127
useless,0.00241324268284645,0.00241324268284645
awful,0.00240421990470415,0.00240421990470415
guess,0.00234862173495042,0.00234862173495042
fantastic,0.00230399474309308,0.00230399474309308
wear,0.0022830393340543,0.0022830393340543
expect,0.00224235117270438,0.00224235117270438
hear,0.00221547507170886,0.00221547507170886
wonderful,0.00214063015097071,0.00214063015097071
pay,0.00211711285161041,0.00211711285161041
flimsy,0.00211195475563591,0.00211195475563591
pro,0.00210531764756804,0.00210531764756804
short,0.00206687863753121,0.00206687863753121
sennheiser,0.00203850242090504,0.00203850242090504
wire,0.00198553804180919,0.00198553804180919
set,0.00197380731095347,0.00197380731095347
static,0.00195474857768359,0.00195474857768359
phone,0.00193188032146663,0.00193188032146663
hurt,0.0019055560441189,0.0019055560441189
people,0.00190470014889066,0.00190470014889066
leave,0.00183924936030936,0.00183924936030936
dre,0.0018223098846757,0.0018223098846757
plastic,0.00182193248079376,0.00182193248079376
stay,0.00179033101471115,0.00179033101471115
worth,0.00176144967763963,0.00176144967763963
easy,0.00174634898677166,0.00174634898677166
purchase,0.00168008757365522,0.00168008757365522
day,0.00165967016188989,0.00165967016188989
crap,0.00164061119453182,0.00164061119453182
lack,0.00162214180742692,0.00162214180742692
run,0.00156860164817895,0.00156860164817895
review,0.00155814457749961,0.00155814457749961
minute,0.00154658725617425,0.00154658725617425
cable,0.00154235934171659,0.00154235934171659
expensive,0.0015151347881941,0.0015151347881941
loud,0.00151476957522325,0.00151476957522325
perfectly,0.00147613513033128,0.00147613513033128
mic,0.00146717632323696,0.00146717632323696
eq,0.00146168066463657,0.00146168066463657
issue,0.00144469232097151,0.00144469232097151
cancel,0.00141890523480511,0.00141890523480511
build,0.00141005970569096,0.00141005970569096
watch,0.0013874083009028,0.0013874083009028
ago,0.00136649773561863,0.00136649773561863
lose,0.00135978063789318,0.00135978063789318
low,0.00135362107709795,0.00135362107709795
experience,0.00134601308174093,0.00134601308174093
feel,0.00134356398897364,0.00134356398897364
disappointment,0.00132287054284749,0.00132287054284749
bose,0.00131779194847389,0.00131779194847389
design,0.00131198557082156,0.00131198557082156
2,0.00130704917780966,0.00130704917780966
hope,0.00129686918900623,0.00129686918900623
replacement,0.00128907788992878,0.00128907788992878
save,0.00128705892020343,0.00128705892020343
refund,0.00126506508089038,0.00126506508089038
headset,0.0012622042504151,0.0012622042504151
cheaply,0.00123491746145846,0.00123491746145846
average,0.00120225533141455,0.00120225533141455
lot,0.00118718787838573,0.00118718787838573
3,0.00117520018330388,0.00117520018330388
4,0.0011661434613772,0.0011661434613772
complis,0.00115167982168713,0.00115167982168713
piece,0.00113940091772551,0.00113940091772551
audio,0.0011323806889861,0.0011323806889861
move,0.00113062361660129,0.00113062361660129
receive,0.00112922439816996,0.00112922439816996
style,0.00112739980457893,0.00112739980457893
night,0.00110208061331037,0.00110208061331037
20,0.00108130137011944,0.00108130137011944
store,0.00107360048597698,0.00107360048597698
gym,0.00107148243147132,0.00107148243147132
tight,0.00106945141187542,0.00106945141187542
box,0.00106547079853669,0.00106547079853669
deal,0.00103941812744588,0.00103941812744588
hour,0.00103169449562113,0.00103169449562113
amazon,0.00101385317517563,0.00101385317517563
compare,0.0010070552384276,0.0010070552384276
30,0.000995666466640497,0.000995666466640497
voice,0.000972088902842965,0.000972088902842965
durable,0.000967716768498796,0.000967716768498796
100,0.000964012685643522,0.000964012685643522
control,0.000947993284621297,0.000947993284621297
spend,0.000937616016477303,0.000937616016477303
model,0.000936306716772626,0.000936306716772626
easily,0.000932890816556032,0.000932890816556032
enjoy,0.000926838756465574,0.000926838756465574
fake,0.000905778926874668,0.000905778926874668
properly,0.000892878157304739,0.000892878157304739
wasn,0.00088288453535093,0.00088288453535093
1,0.000875692084490352,0.000875692084490352
5,0.000873749285828688,0.000873749285828688
apple,0.000872542928474528,0.000872542928474528
size,0.000861319655226155,0.000861319655226155
range,0.000858943907339777,0.000858943907339777
hard,0.000858876111669015,0.000858876111669015
trash,0.000858379350636161,0.000858379350636161
normal,0.000858076518773068,0.000858076518773068
echo,0.000850787822684088,0.000850787822684088
battery,0.000845843295816276,0.000845843295816276
frustrate,0.000831914116606477,0.000831914116606477
warranty,0.000810884043552543,0.000810884043552543
iphone,0.000807160102496647,0.000807160102496647
husband,0.000778426456814189,0.000778426456814189
miss,0.000771996914928748,0.000771996914928748
picture,0.000769601521185871,0.000769601521185871
son,0.000761764564964801,0.000761764564964801
34,0.000751643534058744,0.000751643534058744
foam,0.000748622185292068,0.000748622185292068
plug,0.000744035418785155,0.000744035418785155
line,0.000742033600529242,0.000742033600529242
incredible,0.00073723573169053,0.00073723573169053
travel,0.000736322971034214,0.000736322971034214
idea,0.000723243432060692,0.000723243432060692
alright,0.000719658041369679,0.000719658041369679
blow,0.000711611312035326,0.000711611312035326
walk,0.000711275465422992,0.000711275465422992
light,0.000709436386929314,0.000709436386929314
comfort,0.000702026926927302,0.000702026926927302
reason,0.000695110357003455,0.000695110357003455
ipod,0.000691793459101812,0.000691793459101812
button,0.000691667360377687,0.000691667360377687
complain,0.000688473759831407,0.000688473759831407
worry,0.0006871129341332,0.0006871129341332
happen,0.000683822857992722,0.000683822857992722
professional,0.000679517792278754,0.000679517792278754
unable,0.000677402706699151,0.000677402706699151
sony,0.000672221856243403,0.000672221856243403
connect,0.000671731901544411,0.000671731901544411
garbage,0.000671428410910089,0.000671428410910089
deliver,0.000667777524229483,0.000667777524229483
adjust,0.000663163696533984,0.000663163696533984
extra,0.000657001497375029,0.000657001497375029
color,0.000654275382656371,0.000654275382656371
dead,0.000649964121291832,0.000649964121291832
slide,0.00064873040699379,0.00064873040699379
surprise,0.000646932467673998,0.000646932467673998
buck,0.00064414996033164,0.00064414996033164
pandora,0.000642455391776199,0.000642455391776199
tangle,0.000634315041279389,0.000634315041279389
describe,0.000632440610554218,0.000632440610554218
family,0.000629959186303536,0.000629959186303536
boy,0.00061886070267439,0.00061886070267439
glad,0.000616009089879066,0.000616009089879066
sit,0.000615515497551885,0.000615515497551885
friend,0.00061411489391652,0.00061411489391652
eventually,0.00060846254710577,0.00060846254710577
pop,0.000608401469605445,0.000608401469605445
pad,0.000607201410828471,0.000607201410828471
quiet,0.000605116578617924,0.000605116578617924
6,0.000602564655357306,0.000602564655357306
base,0.000600074780157395,0.000600074780157395
replace,0.000593080531683069,0.000593080531683069
99,0.000590785902918301,0.000590785902918301
isn,0.000590596923272816,0.000590596923272816
sad,0.000588318222392101,0.000588318222392101
kid,0.000588005298471478,0.000588005298471478
person,0.000586564659664941,0.000586564659664941
shuttle,0.000582430075543307,0.000582430075543307
device,0.000579569173354383,0.000579569173354383
mistake,0.00057679674342906,0.00057679674342906
care,0.000576004519533643,0.000576004519533643
train,0.000563937975298209,0.000563937975298209
heavy,0.000563011104571428,0.000563011104571428
interference,0.000558754672129931,0.000558754672129931
loose,0.000556987055244375,0.000556987055244375
movie,0.00055387492891619,0.00055387492891619
koss,0.000553336023217499,0.000553336023217499
package,0.000551672438604124,0.000551672438604124
percent,0.000550031449380294,0.000550031449380294
barely,0.000548846569245017,0.000548846569245017
positive,0.000547099318652283,0.000547099318652283
minimal,0.000546075014799619,0.000546075014799619
transistor,0.000535107119265962,0.000535107119265962
ouch,0.000533557944295025,0.000533557944295025
definately,0.000529883274474352,0.000529883274474352
length,0.000529396747006238,0.000529396747006238
research,0.000527647682275225,0.000527647682275225
due,0.000524534931707207,0.000524534931707207
service,0.000521306881557965,0.000521306881557965
call,0.000517821392490567,0.000517821392490567
tinny,0.000511495387158797,0.000511495387158797
international,0.00051045729977512,0.00051045729977512
transfered,0.000508184577655784,0.000508184577655784
delivery,0.000506268518410677,0.000506268518410677
40,0.000506016229042743,0.000506016229042743
super,0.0004977733166746,0.0004977733166746
pleasantly,0.000488692102819396,0.000488692102819396
forget,0.000488317213697088,0.000488317213697088
diffidently,0.000484625407931705,0.000484625407931705
job,0.000481960782064616,0.000481960782064616
fi,0.000480814596663776,0.000480814596663776
hd,0.000478570517457244,0.000478570517457244
meh,0.000476521117639455,0.000476521117639455
ridiculous,0.000472371951340787,0.000472371951340787
absolutely,0.000468740536351892,0.000468740536351892
play,0.000467106380770092,0.000467106380770092
produce,0.000467084815754511,0.000467084815754511
downside,0.000464373970099257,0.000464373970099257
granddaughter,0.000460002565579757,0.000460002565579757
appart,0.000456832353856624,0.000456832353856624
10,0.000455884508948593,0.000455884508948593
figure,0.000455001062519158,0.000455001062519158
constantly,0.000454238790655373,0.000454238790655373
attempt,0.000454141001643921,0.000454141001643921
sansa,0.00045226869853102,0.00045226869853102
brand,0.000450452626649637,0.000450452626649637
crisp,0.000446761203670948,0.000446761203670948
prefer,0.000446090220537988,0.000446090220537988
15,0.000444656109402486,0.000444656109402486
bank,0.000443341123238073,0.000443341123238073
mid,0.000441447447537591,0.000441447447537591
arrive,0.000440401515910186,0.000440401515910186
carry,0.000439171289371737,0.000439171289371737
hold,0.000438861487835612,0.000438861487835612
glass,0.000438111022641436,0.000438111022641436
favorite,0.000436963495670124,0.000436963495670124
inferior,0.000436909959792518,0.000436909959792518
worthless,0.000433900961427898,0.000433900961427898
period,0.000432121198375749,0.000432121198375749
trouble,0.000431538263475775,0.000431538263475775
balance,0.000430963921326692,0.000430963921326692
rate,0.000430766452603497,0.000430766452603497
tweak,0.000430676519292695,0.000430676519292695
tv,0.000429953966827968,0.000429953966827968
earbud,0.000429731781508402,0.000429731781508402
