"","V1"
"B008B0T67Y-A1UG2LOTYPJY7Y",4
"B0042ORU08-AJ89EBP9H4650",4
"B005KR01R0-A18ZT3IRI2KE7S",5
"B004SBJHW4-AUX09VAR0ZJZ1",5
"B00C1DIGRI-A3IL3LL7F06GCF",4
"B004ZLV50E-A2BX8DDQGCCG2J",3
"B004SBJHW4-A1901NTE8LFJF6",4
"B004ZF0E16-AI34WJTDVQI58",4
"B0092ZX2Q8-A3FI4OB5J5XADN",4
"B00AXSXDFI-A2LUQUVE6HMAM9",5
"B005ML7OWO-A2NJQF2UI60VGT",4
"B00F3J4B5S-A17PRBLP4CBFS3",2
"B003ZX7RL4-A159NO4XW8R9X7",4
"B00FIQSPD0-A2YAPLNV49CDVZ",2
"B00CHHDYNE-A2S28ME6ZM793A",4
"B00DMS77K8-ABDR6IJ93HFIO",4
"B003ZX7RL4-A3RFNSECO940Q8",4
"B0093HKM7M-A1732H24XRS2KD",4
"B0097CZJEO-A3GMMI1FYLI6YF",2
"B0030MHQXO-A3KZCNV1N8R9GC",4
"B003X26V50-A3ASOI56WCPX8T",4
"B004R63J7Y-ARTR638TJN2A2",4
"B005SSAXSI-A2WU79E6567M5G",2
"B003U8EN7A-AF5MYIR1E75L8",4
"B004LRVNG8-A3H6D932GA0ZVG",4
"B00C1DIGRI-A1P35043BLK6O4",4
"B003ZX7RL4-A37YYQ4LBLVFB6",4
"B0046LTU9G-A2ZT1CSHU62UOL",4
"B004SBJHW4-A1OUKEY9UYTV3H",5
"B00CIZFK9G-A2XG053T17G56W",3
"B00GWR36F6-A3AXSEQ6KHFHMR",3
"B004LRVNG8-A16I8SQQIA2B8C",4
"B00B15ZVTS-ABDR6IJ93HFIO",4
"B00BDC2ZPM-A3P0GXPQN42VUV",3
"B00BUGVTY4-A1H04DCWZCMDN1",2
"B00GD6H0NU-A3KKA2GYA0J7LB",2
"B00GD9R7BC-A3KKA2GYA0J7LB",2
"B00BJL133C-A35NQ9VGJYY3XB",2
"B00BJY2XJ2-ABDR6IJ93HFIO",4
"B00BK1RU8I-ABDR6IJ93HFIO",4
"B00GD6H0NU-A36EQAAM0NUTZI",2
"B003V4AJSU-A25JAM5URWV1RX",4
"B003X26V50-A1FVFOIBR8EMJX",4
"B004H23JXW-A3S76NP1H3R0XH",3
"B00746GV06-A173YMJ9XFVRSY",4
"B009PLBLQC-ABDR6IJ93HFIO",4
"B00AKG2XSQ-A3AEDUJ7MXBNEX",4
"B00BNR5AEA-A1BVN8OVG91D0H",2
"B00CTAMMTG-AW73E7O2OTR2K",4
"B00J99NFZK-AU5V90NU1ON6O",4
"B00A9LB0PO-A2IX245LDSNXEM",4
"B00B3HX5Y2-ABDR6IJ93HFIO",4
"B00CBSX5U6-ALIMDCDPRBW56",3
"B00GXHPN1U-A1CAXE51S6HMMA",2
"B000GGO5KO-A3MFORLOKIOEQY",4
"B003DZERC6-A1QVLJ260F6SZD",5
"B007VCRRNS-A35PDEKLAMOD7C",3
"B0099LATZ2-A35A1XYSEF3YQ5",3
"B003ZX7RL4-A2346LHK7C48AW",4
"B0046LTU9G-A2IDY7RBB3F8RD",4
"B004KFXTOA-A3CW0ZLUO5X2B1",4
"B005ML7OWO-A2AZG70U6VI4Y7",2
"B00812YWXU-A2CUEAC1JLU6O4",1
"B0097CZBH4-A3PDEBNKX9DVF6",4
"B00BV1NKCW-A3PDEBNKX9DVF6",4
"B00DGGRAR6-ABDR6IJ93HFIO",4
"B003U6628A-A118YBDXIQ7BDM",2
"B004LRVNG8-AQYU9R4V5QA87",4
"B005BA72GO-A2GMP8XW2WX87E",2
"B0074RE1Z2-A2JMSEFL6O1VSF",4
"B0097CZJEO-A8J3GET1NMLG2",2
"B00BDC2ZPM-ABDR6IJ93HFIO",4
"B00DSR62KY-A30PQBPQZIXNSJ",4
"B0042ORU08-A2CHGPF5UNP78Q",5
"B004KFXTOA-A18MBO1U4DPY20",4
"B0078LXM40-A1FNKRZ2D0WDKD",2
"B007J5AAW2-A42T3E4CN7QHB",4
"B0080DJ6CM-A2MSAKLPEFOYUZ",5
"B008D09MWQ-A3BBKALIOZYNLF",1
"B009PLBLQC-A171QOGBMXY43G",4
"B00B90KCNU-A102RZX2CNMOZE",4
"B00BV1NKCW-ALIMDCDPRBW56",3
"B00GWR36F6-A3281L1GPCNJLV",2
"B00GWR36F6-A35UDCJGVPIPG6",2
"B00ICSVGY6-A1ZCF6BK50LU2G",2
"B00J3554KE-A3IB01HC4EXTIU",2
"B003ZX7RL4-A2OFQ8ZNGWAYPV",4
"B004KFXTOA-A3V36QUTDS19WF",2
"B004LRVNG8-A1OZA52DFY3SHD",4
"B005HYU1YE-A2RFU2WEK9DXMR",4
"B00699JF0M-AKBNM9JDET5TE",4
"B006V47ONU-ABVYGB2TKBO8F",4
"B006V47ONU-AIVU1J51MJ9O2",3
"B00KQ0HCD2-A2N7US9M2956PE",4
"B0012H2N64-A3EVC8GQGAYW0X",4
"B0042ORU08-A19FJUO4I0OSCU",4
"B0042ORU08-A2LVQ5B5NXA1VO",4
"B005C55XJ6-ALAEN6BR5SH9K",5
