"","V1"
"B004ZLV50E-A2BX8DDQGCCG2J",1
"B00F3J4B5S-A17PRBLP4CBFS3",3
"B0097CZJEO-A3GMMI1FYLI6YF",3
"B005SSAXSI-A2WU79E6567M5G",3
"B0097CZBH4-A3PDEBNKX9DVF6",3
"B003U6628A-A118YBDXIQ7BDM",3
"B0074RE1Z2-A2JMSEFL6O1VSF",3
"B0097CZJEO-A8J3GET1NMLG2",3
"B00F3J4ZA4-A1X1CEGHTHMBL1",3
"B00F55GWFC-A1X1CEGHTHMBL1",3
"B00598BY6W-A2XRGAUXBSAGPF",1
"B004ZLV50E-A3LU00NF0V0CHP",3
"B0074R0Z3O-A19EMVPAAW44OP",3
"B00F3ISEUC-A1535NN9QS0J9Q",2
"B003U6628A-A243DBUYMGGH79",3
"B004ZLV5PE-A96K1ZGW56S2I",3
"B00F3ISEUC-A38US3BI4PEJ5O",2
"B00F3J4B5S-AXO4PQU0XG3TG",3
"B005SSAXSI-A2Y7BSQG9V3LNG",4
"B005SSAXSI-A34U4SSLIN3E85",2
"B0097CZJEO-A3O89E6CAA4BSL",3
"B009F9R6K4-A3OK7ON1ER6172",3
"B00F3J4B5S-A2F9KDYJS56JZV",3
"B00F3J4B5S-A3IKZ5JBL6F2LZ",3
"B005SSAXSI-A2VV2MISGXFY1O",3
"B0074REVES-AOM7E1FX7NZW",1
"B005YTY38C-A2B7BUH8834Y6M",3
"B00CL8XDF8-A1FMU4CJLIDHR9",3
"B004ZLV50E-AS4CM6IQHKUC6",3
"B005SSAXSI-A1R23SOWMIJ3F2",1
"B0097CZBH4-A1Y1J4WQT2YSIT",3
"B0097CZF5C-AS4CM6IQHKUC6",3
"B0097CZR5U-AS8C336DDLSO4",3
"B00CL8XDF8-A3QMJMTLJC34QC",3
"B0097CZBH4-A3K43UM7TWLC6K",3
"B0097CZBH4-AUNMQOF4BVHS9",3
"B0097CZJEO-A1Y1J4WQT2YSIT",3
"B004ZLV50E-AVZFZ2PT875D1",1
"B0074R1IP8-A2D8A57GMHW22H",4
"B0074R1IP8-A3NG7X4APIV649",1
"B0097CZJEO-A1LKWMYLSLEYDQ",3
"B00F3ISEUC-A1UF3MCOTSY28N",3
"B00F3ISEUC-A4J58MFCTVJXF",3
"B004ZLV5VS-A3BEB9YCTGFIPY",3
"B006FMDVDK-A2SU17R8D578W2",2
"B0074REBX4-A3MXHZD3BSB1LQ",2
"B0097CZJEO-A2TEXWV00GIX3X",3
"B0097CZJEO-A3SWB22I8149FD",2
"B00CL8XDF8-A1UTDG2EY35TWU",3
"B00CL8XDF8-AZAC8O310IK4E",3
"B004ZLV5PE-A3R33KMESG0XGQ",3
"B004ZLYBQ4-A352GZK70MPY2R",3
"B005SSAXSI-A17YWIOCZIQWGH",2
"B005SSB9RW-A6RBRGWSOA5PW",5
"B006FMDVDK-A441R59DABT6E",3
"B0074R14TI-A3I04RM049YS8Y",3
"B0074REVES-A2MXYEM5SDCR64",1
"B0074REVES-A3TG0T00XH7YUQ",3
"B0097CZJEO-A158IMGDYCA5M5",3
"B0097CZJEO-A2FKOYADKXF4K0",3
"B0097CZR5U-A29O09T0348EFC",3
"B00F3J4B5S-A1WOMXOEX90ARI",4
"B00F3J4B5S-A2X7RVEEQN0OIB",3
"B00F3J4B5S-AQAGMNGCI9V55",3
"B00FB5X0TW-A65GUVCKEE1OQ",3
"B00GCRQYTG-AUZDEL9GP1HVX",3
"B004ZLV50E-A17PRK3OMHXNET",1
"B004ZLV50E-A1B5H8OQ6J3L1M",3
"B005Z9IQE8-AGGYYCU6QDA4N",1
"B006FMDVDK-A1CUYC7DO9L1CX",4
"B0074R1PI8-A2ES7IT00AP3F1",2
"B0097BVA70-AXO4PQU0XG3TG",3
"B0097BWWEK-A303SNZ4AR7TDQ",3
"B0097CZBH4-A37OUNS85XPKRP",3
"B0097CZJEO-A3N77MW49UIXNL",3
"B00F3ISEUC-A24W0OK2JB6B8Y",3
"B00F3ISEUC-A27XPSY3HNYRLQ",1
"B00F3ISEUC-A2Z4GSOQ83JP77",3
"B00F3ISEUC-AGWL4NWRTQ3A8",4
"B001UBB9GM-A1JQOF3NYUTRSM",1
"B004ZLV50E-A3KZLIEGCSSM5L",3
"B005SSAXSI-A3562FZT59568B",4
"B005SSAXSI-AUTF1RQNSLPNY",4
"B005SSB9RW-A1NQQ0GR2RUKB1",1
"B0074R1IP8-A2A2M8EGBY2FV0",3
"B0074RE1Z2-A1HHL3WQC1OZ6Z",3
"B0074RE1Z2-A28GPW93LHFMWL",1
"B0074REVES-AA5XX45QCO0XR",1
"B008VUZPUQ-A2NBLG314SMFLB",3
"B0097CZBH4-A2851JJ8K1ND8Q",3
"B0097CZJEO-A2DAS3GE9AQIC",2
"B0097CZJEO-A390JOY4LN3PBP",3
"B0097CZJEO-A3RU6HE8KB7PSE",4
"B00CL8XDF8-A2TEXWV00GIX3X",3
"B00F3ISEUC-A2835L4DBOMYN4",2
"B00F3J4B5S-A2LT4KI2AVV7ZN",3
"B00F3J4B5S-A3ERTMSNH8PAZF",2
"B001UBB9GM-A1Z9SGJTQYH8F7",1
"B003U6628A-A3D6OI36USYOU1",3
"B004ZLYBQ4-A1KDQWPR9FF8I1",2
"B004ZLYBQ4-A2IV3B56B6MILM",1
"B004ZLYBQ4-A2NB2PGZ0IDRF2",3
"B005SSAXSI-A1RM6YG4T8CEVG",3
"B005SSAXSI-A3CTQAIULH9UJ1",4
"B005SSBCDI-A76H3TUHMOA8K",2
"B0074R1PI8-A32EYN3FJ1IGQK",4
"B0097CZJEO-A15NQQ5QY2E52H",3
"B00CL8XDF8-A13AC263AUDKBR",3
"B00CL8XDF8-A2ITGW4E6U909T",3
"B00F3ISEUC-AFGTONJH2JYKU",2
"B00F3J05CQ-A391KBFZ8DUTPU",3
"B00F3J4B5S-A1VH6QWC6JZRAC",3
"B00F3J4B5S-A2XU55N3J9GNVD",4
"B001UBB9GM-A1E91A2J9JO3R1",4
"B001UBB9GM-A3ON9WB53M70PJ",1
"B001UBB9GM-A4WTN6EAR5F0T",4
"B003U6628A-A31VW45ZW8U9QR",1
"B004ZLV5PE-A2518R0ND7QHAD",1
"B004ZLYBQ4-A1H4IG6PK1O1MO",4
"B004ZLYBQ4-A9ONPMPBTBN5Q",4
"B00598BY6W-A3GQZO7IS2FDGG",1
"B005SSAXSI-A1YIMRRLGGZS5O",4
"B005SSBCDI-A211ECYZ0Y0TAG",4
"B005XYGFIY-A3V6IG3VH79DAG",1
"B0074R0Z3O-A123CCAYS2BXP8",3
"B0074R0Z3O-A25MSIL1VL5MQ8",4
"B0074R1D0S-A2FQ71HTVM3L7A",5
"B0074R1IP8-A3MXHZD3BSB1LQ",3
"B0074REBX4-A3K1WA708UGOSE",3
"B0074SQUBY-AAM6HQJ04B0LI",4
"B0097BWWEK-A1ZGKORVYX1FQA",3
"B0097CZBH4-A1AAK694VTI9FT",3
"B0097CZBH4-A1VRNKFFDHT6ML",1
"B0097CZBH4-AYG4VHP4V6VTM",3
"B0097CZJEO-A15B8P22H1TWLM",3
"B0097CZJEO-A22TO6MLZDYA90",1
"B0097CZJEO-A39E6ALXB9OARI",4
"B0097CZJEO-A3U9FHD6CUU987",2
"B0097CZR5U-A1UM0LKAMYIKM4",3
"B00CL8XDF8-AQ2FC1DLKVD8H",4
"B00F3J05CQ-A2LLOG50BBTJAO",1
"B00F3J1RDW-A22GXRTZLE2LTO",3
"B00F3J4B5S-A2S9EAZA4203ER",5
"B00F3J4B5S-ANZ3GVYW66TBS",3
"B00GCRQYTG-A2BYV7S1QP2YIG",3
"B001UBB9GM-A20CAIG58RFNPB",4
"B003U6628A-A3T6PIX7Z1MLEI",1
"B004ZLV50E-A20DZX38KRBIT8",3
"B004ZLV5AY-A15DKOHNRDAPGH",5
"B004ZLV5AY-A1F6KFBBNRKNP5",4
"B004ZLV5AY-A3D7ZEOGB22UA0",1
"B004ZLV5PE-AGULX4C472DRJ",4
"B004ZLYBH8-A2PQJZJP7DGWXO",4
"B004ZLYBQ4-A2MEMYVLHCQGJA",2
"B00598BY6W-A1PWUD9UV8KIHG",1
