"","V1"
"B0042ORU08-AJ89EBP9H4650",2
"B00DMS77K8-ABDR6IJ93HFIO",4
"B00CIZFK9G-A2XG053T17G56W",3
"B00B15ZVTS-ABDR6IJ93HFIO",4
"B00BDC2ZPM-A3P0GXPQN42VUV",1
"B00BJY2XJ2-ABDR6IJ93HFIO",4
"B00BK1RU8I-ABDR6IJ93HFIO",4
"B004H23JXW-A3S76NP1H3R0XH",1
"B009PLBLQC-ABDR6IJ93HFIO",4
"B00B3HX5Y2-ABDR6IJ93HFIO",4
"B00CBSX5U6-ALIMDCDPRBW56",1
"B007VCRRNS-A35PDEKLAMOD7C",1
"B0099LATZ2-A35A1XYSEF3YQ5",1
"B00812YWXU-A2CUEAC1JLU6O4",5
"B00BV1NKCW-A3PDEBNKX9DVF6",4
"B00DGGRAR6-ABDR6IJ93HFIO",4
"B00BDC2ZPM-ABDR6IJ93HFIO",4
"B00DSR62KY-A30PQBPQZIXNSJ",4
"B0042ORU08-A2CHGPF5UNP78Q",2
"B0080DJ6CM-A2MSAKLPEFOYUZ",2
"B009PLBLQC-A171QOGBMXY43G",4
"B00BV1NKCW-ALIMDCDPRBW56",1
"B006V47ONU-ABVYGB2TKBO8F",2
"B006V47ONU-AIVU1J51MJ9O2",1
"B0042ORU08-A19FJUO4I0OSCU",4
"B0042ORU08-A2LVQ5B5NXA1VO",3
"B007N0RAXK-AA6DR7XTHVF65",2
"B007VCRRNS-AS4CM6IQHKUC6",4
"B00KROR74G-AOXU46P5BRW2I",4
"B00BV1MVJ0-A1IGF9SN5Q6L87",4
"B00F33OE06-A274G2AF1MM845",4
"B00J4TK4CC-A3UQOZV95H13CU",4
"B0080DJ6CM-AX6GG8U1HDSZZ",4
"B00812YWXU-A123FEU3EKMV3V",1
"B0099LATZ2-A2K9CH7LQNDDVS",1
"B007VCRRNS-A2FVCBP1NSAW0M",1
"B007VCRRNS-ABMN74TBW5UWE",4
"B008A9CZCY-A3IM91C2C9YNM",1
"B00BV1NKCW-A1IQLK2FQIKO1N",4
"B00CIZFK9G-AFQGVISA08J9C",4
"B00H50DVPE-A1PEITQQFYXYLM",2
"B0099LATZ2-A2TDAEGX22L7LM",4
"B007VCRRNS-A3KP6KYEYPLQPW",2
"B009PLBLQC-A1NLK7BAPEZT2V",4
"B00BV1NKCW-A3IEAYDS24L2IK",4
"B00CNVOM4O-A7WHA3VWV81C3",4
"B006OU39QW-ABVYGB2TKBO8F",2
"B0099QRVZS-A3STQ45XNMV62B",4
"B00BV1NKCW-A2HN6QNGYCJW9K",4
"B0081HBX2I-AKG13OF6CT8YN",2
"B009PLBLQC-A3NM01NNPL5JZL",4
"B00BV1NKCW-A2K7PL3GCXMLPY",4
"B00D7ZMSZ0-AN7G9M1JDFX1U",1
"B0042ORU08-A3RY95CIYMJMGN",2
"B0063GMSY6-A1AJFWRXWRM8TR",2
"B007250KN8-AG5JGKZKJRULT",1
"B0080DJ6CM-A1D7QAZ6VI2CAO",4
"B009PLBLQC-A197T2N6RU7K56",3
"B00BV1NKCW-A38US3BI4PEJ5O",2
"B00BV48MY0-A2R1VCV9QJAWFR",4
