"","V1"
"B005FCE67Q-AX9FIZX89LNFQ",3
"B00009ADDR-AX9FIZX89LNFQ",3
"B002M3DG1S-AX9FIZX89LNFQ",3
"B002M3I8IO-AX9FIZX89LNFQ",3
"B004XGBLNC-AX9FIZX89LNFQ",3
"B005FCE72U-AX9FIZX89LNFQ",3
"B004FNVPI4-AX9FIZX89LNFQ",3
"B0000A1ZMS-AFE0AGQT50MBJ",5
"B005I710MW-AWT3TU9947FEX",2
"B00005NCWQ-A27DDHWHE540I5",3
"B0000YWF5E-A11Z19WF2I5EDY",3
"B002MZYZHU-ALDHKRJOKQ9H2",4
"B007JNNQ6Q-A2VW4FYZILSXF2",2
"B000AQSMPO-ACVFTS9X2MKJ8",2
"B000GTR2F6-A37KJJI7CVC8E7",5
"B000AQPMHA-ACVFTS9X2MKJ8",2
"B000GTR2F6-ACVFTS9X2MKJ8",2
"B007L877MI-A1IU7S4HCK1XK0",2
"B001KYJ52E-AX9FIZX89LNFQ",3
"B009L1SDL2-A37WVR9M1STQDU",4
"B003GW873G-AN3MPXQ1N1UBN",2
"B006ZCE38M-AX9FIZX89LNFQ",3
"B005YQZNO8-A11P105WVK5240",4
"B002AKKCLK-A4XGGR7DHGJPE",4
"B005I710MW-ARB1CQ5A3XTNO",3
"B000R8E7UO-A2EPXTV002C8OB",4
"B001KYJ52E-A29EGA8RIDPUJ1",4
"B001QTVS5K-A1JR2IUFFVBE84",2
"B001QTVS5K-A3DD60HIG9J1UH",2
"B004WGQ8EU-A19NP8YYADOOSF",4
"B0006H0JVW-ABX2AFALZBPPH",3
"B00005NCWQ-A1HRAXQ8PGANIS",3
"B00005NCWQ-A1UWSU5ETQRQKX",3
"B00005IBX9-A7SW6WD1SHUQ9",4
"B001G8Y2WW-AZOHUZH1L4I5C",3
"B0037ZG3DS-A17SK28R4GQPMM",4
"B003O1V5P6-A2Q8AT657XUX31",3
"B0041A5H5S-A27IARAU32514I",4
"B00005MF9C-AXDE1LDJGYIHG",2
"B000AQPMHA-A2X9UY0OEG7DX",2
"B0000YTYGM-AI5EIS34J73QB",3
"B000GXZ2GS-A2QRX9OJKW9TM9",3
"B002CVTKVK-A1Y32JMVKBL7ZS",3
"B002CVTKVK-A30JPZ9TZ7I61U",3
"B002M3I8IO-A3SKX3U5NNJCMC",3
"B007L877MI-AUHRCY529KAY9",2
"B0037ZG3DS-A1NIEPU556D4HG",4
"B0037ZG3DS-A3J3STMDXS95FX",3
"B003GW873G-A18YOLQ2DTY3D3",2
"B004OS6PXK-A26D8IVRS6FUY3",4
"B009PLQ5H2-A1UPGE8QSB5B2N",2
"B00005NCWQ-A3CA4RKEAJZKFB",3
"B00009ADDR-AY9IZSFW5WHRZ",3
"B0000YTYGM-A10UV0T9R1U3RH",4
"B0034J6QIY-AWT3TU9947FEX",4
"B0041A5H5S-A1XRKRGYYBI0LU",4
"B005I710MW-A10AFVU66A79Y1",3
"B007JNNQ6Q-A1J5HIF41ENSMZ",4
"B00AQ9NIO0-A1T41HM2YKN5HF",2
"B00AWLBDZS-A3N5I9Z5JTWPWX",2
"B00CH9QWOU-A8VKYZKBAJ0AR",3
"B00005IBX9-A3JT6Y26IHXJQ8",1
"B00005NCWQ-A1LOU0UQQ1O9PY",3
"B000GTR2F6-A3F5I3P6PEWUBN",2
"B000T9XPHC-A3PUHAS3XR3Z1P",3
"B0012824NK-A7Z23084E0V47",3
"B001G8Y2WW-AQR5X569NEPPJ",2
"B002MVJQPA-A2R1IVVAWU0EHP",4
"B002QG0RRC-A2EN45WDF5UL8Y",1
"B003DMY6LQ-A2891E3BMAKGYN",3
"B004GWSWCQ-A23R3S9QKIF3MD",2
"B005I710MW-A2TPR6CK4KGRP6",3
"B005YQZNO8-AEMOJF771F6WQ",3
"B00005MF9C-A1I5BVLA6VB5OC",4
"B0000YWF5E-A3S3R88HA0HZG3",3
