"","V1"
"B00009NROG-ABQH8HJ8AJ83G",4
"B00CWCXCRW-A34VV0DDR0OFE5",1
"B00140SC64-A1B29AAROKKQOE",5
"B005PO7748-A58RELMUPRJOW",1
"B000F0BYRS-A1E9Q7GZD27QRP",4
"B000B18P96-A3CFKL4BV1EEQH",2
"B001ARQYRU-A3B4QK2XFFKDAH",4
"B002GHBSCO-A3BEDO0NQMAVOC",5
"B005BWMMCQ-A3SYE6NEO8VSU0",1
"B0000A1ZMV-A1UIX23XRS4R8Q",1
"B0000A1ZN0-A39LRLKACX89IP",1
"B003A09ARG-A1GXDC5J921GD8",4
"B003TT0V0S-A28REXUHJB906Q",4
"B003TT0ZFE-AJ62SC0HYEKU",4
"B004UDB6SS-A2QDU292BGTOC7",4
"B0014IKQKG-A2T8WH8QKJ81WE",4
"B003A09ARG-A1E1LEVQ9VQNK",1
"B005BWMMCQ-A25JF4201HQEJF",4
"B006OQSNYY-A19OWDDZM96R7P",4
"B0000A1ZN0-A142UM5U3GAOLS",1
"B0001O2WY2-A3QWNQ2WA7QZYJ",3
"B000UHSLPO-A3QWNQ2WA7QZYJ",3
"B005BWMMCQ-A2QJ0XMSPTHOCX",1
"B005NIXRXQ-A12LQG0YCKQQ4N",1
"B00064W93G-A1977U7QPVVF5E",4
"B001ARQYRU-A3EIUZYP7MBMZT",3
"B0043BG916-A3AP82JWCGSXM3",2
"B005BWMMCQ-A221AYJCX6Y5WB",1
"B005Z622OG-A3UF2X9NBYRO6",5
"B006OQSNYY-A3OLXBHE0HW27M",1
"B007JRUSE0-A1HUIVZ5N8UTEF",1
"B008YNFB3Q-A1JT14QX7SD7KE",2
"B00009NROG-A38Q4EYP8AX0IN",5
"B0007Y17WE-A1K33E0M8K6S63",4
"B0012S8NXA-A1Y397F78Y8BQD",5
"B0012S8NXA-A2PS7MXY8UTPZA",4
"B0014E0UFQ-A2MJ8OL2FYN7CW",1
"B0026IG6LQ-A24H9RNI4PE0UU",3
"B0026L6L5E-A241PWLM31W8S6",1
